ID,Country of Origin,Altitude,Region,Number of Bags,Bag Weight,Harvest Year,Grading Date,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Moisture Percentage,Balance,Overall,Total Cup Points (TO BE RECALCULATED),Category One Defects,Category Two Defects
105,Colombia,,,1,1 kg,2022,"September 26th, 2022",,7.83,7.75,7.5,7.58,7.67,12.4,7.67,7.67,83.67,1,9
106,Taiwan,1250,"Caoling , Gukeng Township, Yunlin County",50,2 kg,2022,"October 24th, 2022",Washed / Wet,7.67,7.67,7.75,7.75,7.5,10,7.67,7.67,83.67,0,0
107,Myanmar,1400,South Shan State,100,30 kg,2022,"November 15th, 2022",Natural / Dry,7.83,7.83,7.67,7.58,7.58,10.2,7.58,7.58,83.67,0,1
108,Taiwan,200-400,新竹縣,1,13 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,9.2,7.67,7.67,83.67,0,0
109,Honduras,1470,"San Jose, La Paz",9,15 kg,2021,"November 15th, 2022",Natural / Dry,7.67,7.67,7.58,7.75,7.67,11.1,7.67,7.67,83.67,0,1
110,Taiwan,250-400,新竹縣,1,10 kg,2021 / 2022,"January 6th, 2023",Natural / Dry,7.58,7.67,7.5,7.75,7.75,8.4,7.67,7.67,83.58,0,0
111,Taiwan,250-300,新竹縣,1,10 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,9.1,7.67,7.67,83.58,0,0
112,Guatemala,1600,QUICHE,275,69 kg,2021 / 2022,"May 19th, 2022",Washed / Wet,7.58,7.83,7.58,7.67,7.58,10.9,7.58,7.75,83.58,0,4
113,Honduras,1400,Marcala,260,69 kg,2021 / 2022,"August 17th, 2022",Washed / Wet,7.75,7.67,7.58,7.58,7.58,11.2,7.67,7.67,83.5,0,5
114,Colombia,1700,Popayán Cauca,600,30 kg,2022,"January 18th, 2023",Washed / Wet,7.75,7.75,7.5,7.58,7.83,12.2,7.5,7.58,83.5,0,2
115,Thailand,1200 - 1580,North of Thailand,2,1 kg,2022,"July 14th, 2022",Washed / Wet,7.42,7.83,7.58,7.67,7.67,13.1,7.75,7.58,83.5,0,0
116,Ethiopia,1700,OROMIA,320,19200 kg,2021 / 2022,"November 30th, 2022",Washed / Wet,7.42,7.42,7.42,8,7.92,10.4,7.67,7.67,83.5,0,11
117,Thailand,1450,Suan Ya Lung,5,2 kg,2022,"June 16th, 2022",Washed / Wet,7.67,7.67,7.5,7.67,7.58,11.6,7.67,7.67,83.42,0,0
118,Uganda,1400 - 1900,Mt Elgon,150,60 kg,2021 / 2022,"July 7th, 2022",Washed / Wet,7.75,7.75,7.5,7.5,7.58,10.1,7.58,7.75,83.42,0,3
119,Taiwan,1100,Chiayi,1,40 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,7.75,7.92,7.67,7.92,7.75,10.1,7.83,7.92,83.42,0,0
120,Uganda,1905,Rwenzori,320,60 kg,2021 / 2022,"September 1st, 2022",Washed / Wet,7.75,7.67,7.58,7.5,7.67,11.1,7.5,7.67,83.33,0,5
121,Taiwan,200-300,新竹縣,1,8 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.58,7.67,7.5,7.75,7.5,9.7,7.58,7.75,83.33,0,0
122,Guatemala,1280-1325,NEW ORIENTE & HUEHUETENANGO,320,60 kg,2021,"December 30th, 2022",Washed / Wet,7.5,7.75,7.58,7.75,7.67,11.4,7.58,7.5,83.33,0,0
123,Taiwan,300,桃園市,1,80 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,7.58,7.67,7.58,7.75,7.42,9.6,7.58,7.75,83.33,0,1
124,Colombia,1100,Sierra Nevada de Santa Marta,2,1 kg,2021 / 2022,"September 30th, 2022",Washed / Wet,7.67,7.67,7.42,7.75,7.5,13.5,7.75,7.58,83.33,0,0
125,Costa Rica,1850,Tarrazu,320,69 kg,2022 / 2023,"April 19th, 2023",Washed / Wet,7.58,7.75,7.42,7.67,7.5,0,7.75,7.67,83.33,0,3
